"","x"
"1","Clec2h"
"2","Ankrd33b"
"3","Chpt1"
"4","Klhl5"
"5","Gas2"
"6","Acadsb"
"7","Gm27216"
"8","Srd5a1"
"9","Ireb2"
"10","Clic5"
"11","Rab5b"
"12","Slco1a1"
"13","Tcaim"
"14","Mindy3"
"15","Acss3"
"16","Gnpda1"
"17","Lactb2"
"18","Tnfsf10"
"19","Tfpi2"
"20","Rab21"
"21","Srd5a2"
"22","Chfr"
"23","Taco1"
"24","Synj2bp"
"25","Klhl2"
"26","Dbt"
"27","Lypla1"
"28","0610031O16Rik"
"29","Dnaja4"
"30","Slc18a1"
"31","Idi1"
"32","Steap4"
"33","Macrod2"
"34","Hsd11b1"
"35","Pptc7"
"36","Abhd5"
"37","Ccng2"
"38","Wdr20"
"39","ATP8"
"40","Slc49a4"
"41","Sspn"
"42","Tmem144"
"43","Elovl5"
"44","Klhl24"
"45","Rrm2b"
"46","Nxt2"
"47","Igip"
"48","Abhd18"
"49","Ssbp2"
"50","Azin1"
"51","Tbc1d32"
"52","Serpinb8"
"53","Aldh6a1"
"54","Amacr"
"55","Mlh3"
"56","Ankrd13c"
"57","Plekhb2"
"58","Peli1"
"59","Cdk19"
"60","Dnajc22"
"61","Paics"
"62","Glud1"
"63","Zfp763"
"64","Iigp1"
"65","Slc25a51"
"66","Narf"
"67","Fech"
"68","Marchf8"
"69","Rbm47"
"70","Aqp11"
"71","N4bp2"
"72","Tollip"
"73","Igf1"
"74","Slc35a5"
"75","Nadk2"
"76","Arhgap42"
"77","Mtmr6"
