"","go_id","Term"
"1","GO:0006979","response to oxidative stress"
"2","GO:0009150","purine ribonucleotide metabolic process"
"3","GO:0009914","hormone transport"
"4","GO:0010876","lipid localization"
"5","GO:0015833","peptide transport"
"6","GO:0019693","ribose phosphate metabolic process"
"7","GO:0031331","positive regulation of cellular catabolic process"
"8","GO:0031647","regulation of protein stability"
"9","GO:0035592","establishment of protein localization to extracellular region"
"10","GO:0042440","pigment metabolic process"
"11","GO:0042886","amide transport"
"12","GO:0044270","cellular nitrogen compound catabolic process"
"13","GO:0046700","heterocycle catabolic process"
"14","GO:0071692","protein localization to extracellular region"
"15","GO:0090407","organophosphate biosynthetic process"
"16","GO:0097191","extrinsic apoptotic signaling pathway"
"17","GO:1901361","organic cyclic compound catabolic process"
"18","GO:1990778","protein localization to cell periphery"
